时间,资金
10763,11234.542634678875
10764,11234.542634678875
10765,11234.542634678875
10766,11234.542634678875
10767,11234.542634678875
10768,11234.542634678875
10769,11234.542634678875
10770,11234.542634678875
10771,11234.542634678875
10772,11234.542634678875
10773,11234.542634678875
10774,11234.542634678875
10775,11234.542634678875
10776,11234.542634678875
10777,11234.542634678875
10778,11344.022983589093
10779,11370.296987229927
10780,11344.022983589093
10781,11310.334519788832
10782,11254.953454354472
10783,11254.953454354472
10784,11254.953454354472
10785,11254.953454354472
10786,11254.953454354472
10787,11254.953454354472
10788,11254.953454354472
10789,11254.953454354472
10790,11254.953454354472
10791,11254.953454354472
10792,11254.953454354472
10793,11254.953454354472
10794,11254.953454354472
10795,11254.953454354472
10796,11254.953454354472
10797,11254.953454354472
10798,11254.953454354472
10799,11254.953454354472
10800,11254.953454354472
10801,11254.953454354472
10802,11254.953454354472
10803,11254.953454354472
10804,11254.953454354472
10805,11254.953454354472
10806,11254.953454354472
10807,11254.953454354472
10808,11254.953454354472
10809,11254.953454354472
10810,11254.953454354472
10811,11254.953454354472
10812,11254.953454354472
10813,11254.953454354472
10814,11254.953454354472
10815,11254.953454354472
10816,11254.953454354472
10817,11254.953454354472
10818,11254.953454354472
10819,11254.953454354472
10820,11254.953454354472
10821,11254.953454354472
10822,11254.953454354472
10823,11254.953454354472
10824,11254.953454354472
10825,11254.953454354472
10826,11254.953454354472
10827,11254.953454354472
10828,11254.953454354472
10829,11254.953454354472
10830,11254.953454354472
10831,11254.953454354472
10832,11254.953454354472
10833,11254.953454354472
10834,11254.953454354472
10835,11254.953454354472
10836,11254.953454354472
10837,11254.953454354472
10838,11065.888300611954
10839,11065.888300611954
10840,10975.757020751429
10841,10975.757020751429
10842,10975.757020751429
10843,10975.757020751429
10844,10975.757020751429
10845,11055.063889611572
10846,11059.816092834448
10847,11093.568675925964
10848,11055.455528470142
10849,11008.37767202001
10850,11008.37767202001
10851,11008.37767202001
10852,11008.37767202001
10853,11008.37767202001
10854,11008.37767202001
10855,11008.37767202001
10856,11008.37767202001
10857,11008.37767202001
10858,11008.37767202001
10859,11008.37767202001
10860,11008.37767202001
10861,11008.37767202001
10862,11008.37767202001
10863,11008.37767202001
10864,11008.37767202001
10865,11008.37767202001
10866,11008.37767202001
10867,11008.37767202001
10868,11008.37767202001
10869,11008.37767202001
10870,11008.37767202001
10871,11008.37767202001
10872,11008.37767202001
10873,11008.37767202001
10874,11008.37767202001
10875,11008.37767202001
10876,11008.37767202001
10877,11008.37767202001
10878,11008.37767202001
10879,11008.37767202001
10880,11008.37767202001
10881,11008.37767202001
10882,11008.37767202001
10883,11008.37767202001
10884,11008.37767202001
10885,11008.37767202001
10886,11008.37767202001
10887,11008.37767202001
10888,11008.37767202001
10889,11025.77586090493
10890,11025.77586090493
10891,11017.799241274754
10892,11017.799241274754
10893,11017.799241274754
10894,11017.799241274754
10895,11017.799241274754
10896,11017.799241274754
10897,11011.175279482093
10898,10985.981551732073
10899,10985.981551732073
10900,10976.306095171018
10901,10968.966796489718
10902,10952.061793630977
10903,10952.061793630977
10904,10952.061793630977
10905,10952.061793630977
10906,10952.061793630977
10907,10952.061793630977
10908,10952.061793630977
10909,10952.061793630977
10910,10952.061793630977
10911,10952.061793630977
10912,10952.061793630977
10913,10952.061793630977
10914,10952.061793630977
10915,10952.061793630977
10916,10952.061793630977
10917,10952.061793630977
10918,10952.061793630977
10919,10952.061793630977
10920,10952.061793630977
10921,10952.061793630977
10922,10952.061793630977
10923,10952.061793630977
10924,10952.061793630977
10925,10952.061793630977
10926,10952.061793630977
10927,10952.061793630977
10928,10952.061793630977
10929,10952.061793630977
10930,10952.061793630977
10931,10952.061793630977
10932,10952.061793630977
10933,10952.061793630977
10934,10952.061793630977
10935,10952.061793630977
10936,10952.061793630977
10937,10952.061793630977
10938,10952.061793630977
10939,10952.061793630977
10940,10952.061793630977
10941,10952.061793630977
10942,10952.061793630977
10943,10952.061793630977
10944,10952.061793630977
10945,10952.061793630977
10946,10952.061793630977
10947,10952.061793630977
10948,10952.061793630977
10949,10952.061793630977
10950,10952.061793630977
10951,10952.061793630977
10952,10952.061793630977
10953,10952.061793630977
10954,10952.061793630977
10955,10952.061793630977
10956,10952.061793630977
10957,10952.061793630977
10958,10952.061793630977
10959,10952.061793630977
10960,10952.061793630977
10961,10952.061793630977
10962,10952.061793630977
10963,10952.061793630977
10964,10952.061793630977
10965,10952.061793630977
10966,10952.061793630977
10967,10952.061793630977
10968,10952.061793630977
10969,10952.061793630977
10970,10952.061793630977
